0.01,-0.5,1,-0.07,0.08,0.59547093
0.02,-0.5,-0.5,-0.02,0.11,0.90798494
0.03,1,0,0.03,0.09,1.03714997
0.04,-0.5,-0.5,0.2,0.1,1.1303371
0.05,0.5,0,-0.08,0.08,0.08818655
0.06,-0.5,0,-0.2,0.13,0.91482959
0.07,-0.5,0.5,0.07,0.09,1.12669094
0.08,0.5,0.5,-0.01,0.1,0.12661793
0.09,1,0.5,-0.14,0.09,1.36504481
0.1,-0.5,0,0.09,0.11,1.022637
0.11,0.5,0,-0.15,0.09,0.03898757
0.12,-0.5,0,-0.12,0.09,1.37254046
0.13,1,-0.5,-0.07,0.11,1.27326018
0.14,-0.5,-0.5,0.23,0.09,1.16282975
0.15,0.5,-0.5,0.2,0.12,0.0525766
0.16,-0.5,0,-0.05,0.11,0.88973034
0.17,1,-0.5,0.17,0.12,0.58050597
0.18,-0.5,0.5,0.12,0.07,1.2105061
0.19,0.5,0.5,0.05,0.08,0.08140097
0.2,-0.5,0.5,-0.24,0.09,1.05809434
0.21,-0.5,0,-0.11,0.07,2.14445422
0.22,1,0.5,-0.21,0.11,1.21213428
0.23,0.5,0,0.24,0.12,0.07478803
0.24,1,-0.5,0.2,0.12,0.97404795
0.25,-0.5,0,0.14,0.09,1.21339965
0.26,0.5,-0.5,-0.04,0.09,0.10047043
0.27,-0.5,-0.5,-0.23,0.06,1.0335154
0.28,1,0,0.06,0.08,0.44328965
0.29,0.5,0.5,0.02,0.07,0.06012133
0.3,-0.5,0.5,0.01,0.06,0.9666217
0.31,-0.5,0.5,-0.24,0.09,0.31664712
0.32,1,-0.5,0.16,0.08,0.65656632
0.34,-0.5,-0.5,-0.03,0.08,1.28194797
0.35,0.5,0.5,0.1,0.08,0.04046898
0.36,1,0.5,-0.01,0.08,0.47854622
0.37,-0.5,0,-0.2,0.08,0.60208317
0.39,-0.5,0,-0.17,0.08,0.63991222
0.4,0.5,-0.5,-0.16,0.07,0.06872057
0.41,-0.5,0.5,-0.14,0.1,1.72610267
0.42,1,0,-0.08,0.11,0.5632976
0.43,1,0.5,0.04,0.07,0.75681451
0.45,-0.5,0,-0.18,0.09,1.43977558
0.46,-0.5,-0.5,-0.1,0.1,1.12067458
0.47,1,0.5,0.19,0.09,1.09055637
0.49,0.5,-0.5,0.18,0.08,0.07796342
0.5,-0.5,-0.5,0.21,0.1,2.44698502
0.51,-0.5,0.5,-0.09,0.08,1.85138833
0.52,1,-0.5,-0.23,0.07,1.4803323
0.52,1,0,-0.18,0.07,1.48033231
0.52,1,0.5,0.11,0.07,1.48033232
0.53,-0.5,-0.5,-0.04,0.06,1.96688834
0.54,0.5,0.5,-0.22,0.08,0.15382195
0.51,-0.5,0.5,-0.09,0.08,1.85138833
0.52,1,-0.5,-0.23,0.07,1.4803323
0.54,0.5,0.5,-0.22,0.08,0.15382195
0.56,1,-0.5,-0.16,0.12,0.97357342
